_id,devAddr,deduplicationId,time,deviceInfo.deviceClassEnabled,deviceInfo.tenantName,deviceInfo.tenantId,deviceInfo.deviceProfileId,deviceInfo.applicationId,deviceInfo.deviceName,deviceInfo.applicationName,deviceInfo.devEui,deviceInfo.deviceProfileName,deviceInfo.tags.Description,deviceInfo.tags.Address,deviceInfo.tags.Name,deviceInfo.tags.Location,txInfo.modulation.lora.spreadingFactor,txInfo.modulation.lora.bandwidth,txInfo.modulation.lora.codeRate,txInfo.frequency,fPort,data,fCnt,confirmed,adr,dr,rxInfo[0].rssi,rxInfo[1].rssi,rxInfo[2].rssi,rxInfo[0].snr,rxInfo[1].snr,rxInfo[2].snr,rxInfo[0].metadata.region_config_id,rxInfo[1].metadata.region_config_id,rxInfo[2].metadata.region_config_id,rxInfo[0].metadata.region_common_name,rxInfo[1].metadata.region_common_name,rxInfo[2].metadata.region_common_name,rxInfo[0].crcStatus,rxInfo[1].crcStatus,rxInfo[2].crcStatus,object.distance,object.position,object.battery,object.status
676951eb86f246f78976072a,010fa365,6e11d1ce-09ee-4be8-8e2d-d41de6040988,2014-04-20T10:00:00.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,6a273702-1701-450e-a5ce-2757bbee4165,ab61f3b6-fb26-4bbb-aeff-332097b89aab,UDS-9228,EM310-UDL-915M,24e124713d399228,EM310-UDL-915M,Mide el nivel de agua almacenada en el tanque,Parque Excombatientes,Sensor nivel de liquido,"-17.385320458924163, -66.17390941117199",10,125000,CR_4_5,915200000,85,/wv//wEB,1,FALSE,TRUE,2,-96,-106,-108,5.0,-2.0,0.5,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,73.7,normal,78.4,Medio
2c46ca8547f54778847349f0,010fa365,01c4c214-f4fe-4dc2-99ae-061abcaca506,2014-04-20T10:00:01.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,6a273702-1701-450e-a5ce-2757bbee4165,ab61f3b6-fb26-4bbb-aeff-332097b89aab,UDS-9228,EM310-UDL-915M,24e124713d399228,EM310-UDL-915M,Mide el nivel de agua almacenada en el tanque,Parque Excombatientes,Sensor nivel de liquido,"-17.385320458924163, -66.17390941117199",10,125000,CR_4_5,915200000,85,/wv//wEB,2,FALSE,TRUE,2,-114,-101,-81,4.1,7.5,0.4,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,53.1,normal,86.1,Medio
ea9e85983c7c4055998c8a1a,010fa365,ed3596e1-313b-4705-bb50-a3195b50ede0,2014-04-20T10:00:02.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,6a273702-1701-450e-a5ce-2757bbee4165,ab61f3b6-fb26-4bbb-aeff-332097b89aab,UDS-9228,EM310-UDL-915M,24e124713d399228,EM310-UDL-915M,Mide el nivel de agua almacenada en el tanque,Parque Excombatientes,Sensor nivel de liquido,"-17.385320458924163, -66.17390941117199",10,125000,CR_4_5,915200000,85,/wv//wEB,3,FALSE,TRUE,2,-89,-98,-100,-6.0,3.0,-6.2,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,83.9,normal,73.6,Medio
577f986cbd594c488c39a81d,010fa365,5d8bdd55-4acb-4e4c-9e3e-ba90160b00e1,2014-04-20T10:00:03.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,6a273702-1701-450e-a5ce-2757bbee4165,ab61f3b6-fb26-4bbb-aeff-332097b89aab,UDS-9228,EM310-UDL-915M,24e124713d399228,EM310-UDL-915M,Mide el nivel de agua almacenada en el tanque,Parque Excombatientes,Sensor nivel de liquido,"-17.385320458924163, -66.17390941117199",10,125000,CR_4_5,915600000,85,/wv//wEB,4,FALSE,TRUE,2,-101,-104,-119,-3.6,7.1,-2.6,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,68.2,normal,81.5,Medio
87bddeb22107434891ed7650,010fa365,0c66cd08-7b9d-4d74-a10e-4959aa5b2dcb,2014-04-20T10:00:04.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,6a273702-1701-450e-a5ce-2757bbee4165,ab61f3b6-fb26-4bbb-aeff-332097b89aab,UDS-9228,EM310-UDL-915M,24e124713d399228,EM310-UDL-915M,Mide el nivel de agua almacenada en el tanque,Parque Excombatientes,Sensor nivel de liquido,"-17.385320458924163, -66.17390941117199",10,125000,CR_4_5,915600000,85,/wv//wEB,5,FALSE,TRUE,2,-102,-84,-111,2.4,3.1,-2.2,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,143.1,normal,91.1,Bajo
9dfa23c17b8b453397a3f82c,010fa365,df12d3f9-ff82-4eac-afe6-b9ae7c3cffc4,2014-04-20T10:00:05.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,6a273702-1701-450e-a5ce-2757bbee4165,ab61f3b6-fb26-4bbb-aeff-332097b89aab,UDS-9228,EM310-UDL-915M,24e124713d399228,EM310-UDL-915M,Mide el nivel de agua almacenada en el tanque,Parque Excombatientes,Sensor nivel de liquido,"-17.385320458924163, -66.17390941117199",10,125000,CR_4_5,915600000,85,/wv//wEB,6,FALSE,TRUE,2,-117,-102,-82,-9.4,1.4,-6.6,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,88.2,normal,76.2,Medio
7cd564c8d82b49fa9f58d8c7,010fa365,3139b14b-5702-4820-ab42-d83ca19af121,2014-04-20T10:00:06.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,6a273702-1701-450e-a5ce-2757bbee4165,ab61f3b6-fb26-4bbb-aeff-332097b89aab,UDS-9228,EM310-UDL-915M,24e124713d399228,EM310-UDL-915M,Mide el nivel de agua almacenada en el tanque,Parque Excombatientes,Sensor nivel de liquido,"-17.385320458924163, -66.17390941117199",10,125000,CR_4_5,916200000,85,/wv//wEB,7,FALSE,TRUE,2,-109,-99,-116,-3.2,-2.3,-7.6,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,36.8,normal,80.9,Lleno
00c4fb2eadf54a378b6fd1b8,010fa365,78f0d7ec-ad36-4f55-bd7d-f800cedebbe0,2014-04-20T10:00:07.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,6a273702-1701-450e-a5ce-2757bbee4165,ab61f3b6-fb26-4bbb-aeff-332097b89aab,UDS-9228,EM310-UDL-915M,24e124713d399228,EM310-UDL-915M,Mide el nivel de agua almacenada en el tanque,Parque Excombatientes,Sensor nivel de liquido,"-17.385320458924163, -66.17390941117199",10,125000,CR_4_5,915200000,85,/wv//wEB,8,FALSE,TRUE,2,-86,-81,-101,6.0,3.0,2.7,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,41.1,normal,88.0,Lleno
5623e2551cb840aab97dce7a,010fa365,8e55ab51-88c5-420e-a8cd-162727142171,2014-04-20T10:00:08.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,6a273702-1701-450e-a5ce-2757bbee4165,ab61f3b6-fb26-4bbb-aeff-332097b89aab,UDS-9228,EM310-UDL-915M,24e124713d399228,EM310-UDL-915M,Mide el nivel de agua almacenada en el tanque,Parque Excombatientes,Sensor nivel de liquido,"-17.385320458924163, -66.17390941117199",10,125000,CR_4_5,915600000,85,/wv//wEB,9,FALSE,TRUE,2,-116,-112,-108,-7.3,-9.6,10.0,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,52.2,normal,96.4,Medio
a21afedae53c4663bba5cc01,010fa365,16486151-fe08-4948-9fa9-dea30fb2ddb6,2014-04-20T10:00:09.000+00:00,CLASS_A,Secretaria de ciudad digital y gobierno electronico,52f14cd4-c6f1-4fbd-8f87-4025e1d49242,6a273702-1701-450e-a5ce-2757bbee4165,ab61f3b6-fb26-4bbb-aeff-332097b89aab,UDS-9228,EM310-UDL-915M,24e124713d399228,EM310-UDL-915M,Mide el nivel de agua almacenada en el tanque,Parque Excombatientes,Sensor nivel de liquido,"-17.385320458924163, -66.17390941117199",10,125000,CR_4_5,916200000,85,/wv//wEB,10,FALSE,TRUE,2,-85,-117,-91,-9.2,-1.4,3.6,au915_0,au915_0,au915_0,AU915,AU915,AU915,CRC_OK,CRC_OK,CRC_OK,77.7,normal,86.3,Medio
